Title,Review,Rating,Date
Beautiful staple item,"Love this striped top! it's perfect to throw on with black skinnies and a denim jacket or long grey cardigan. it also pairs well with camel. it is super soft. runs big imo, even though other reviewers said small. like most bordeaux, i took an xs, whereas i wear a small in most other retailer brands. similar to the photo, although much looser on me.",5,27/11/2018
Stylish but strange,"I love the color, the fabric and the style (especially in the model shots) but in reality, the cut is disproportionate. the hips and hip pockets flare out creating a saddlebag look. it is not smooth and fitted as shown on the model. overall you need to size down since i could pullover the dress without unzipping. i think the felted boiled wool is great quality but a tiny bit itchy. i still recommend the dress because i will be wearing it with a long sweater coat which will hide the weird hip act",4,07/09/2018
Luxurious and flattering,The bikini bottoms are high quality and feel very luxurious. order one size up. this line runs small. i read the reviews and ordered a medium. i am normally xs/s in underwear but the medium fits me perfectly. i wish i had ordered in other colors before they sold out! trust me you'll want another pair after trying these on.,5,21/07/2018
Incorrect sizing,Way too long...the sizing is incredibly off on this product. order a size or two down.,2,29/09/2018
Gorgeous,"This gorgeous dress really does bloom before your eyes. the silk is light, airy and very delicate. the bodice runs large and the length runs long (i have to wear my highest platforms) but i would not return because it's an exquisite piece of art.",5,20/09/2018
Love this dress!,"I absolutely love this dress! i got it right after my first baby was born to wear to an outdoor, early october wedding. it was perfect! the fit is flattering and the dress is well made. it's a classy, elegant dress and i have worn it many times since.",5,21/02/2018
Disappointing quality,"I ordered these leggings and loved them, for about an hour- at which point the belt loop ripped off of the pant, leaving a hole. i called customer service and they sent me a 2nd pair. same thing happened. i never even pulled on the belt loop. they are just so flimsy. it's a shame bc they are cool looking.",1,17/10/2018
Should've gotten a larger size,"I purchased this jacket in my usual size s, but wish i would've chosen the m. the small works, but the sweater sleeves are tighter than i would've liked, making it hard to layer other clothes underneath. the sleeves are also just a little too short.",4,29/04/2018
Classy black dress,"My husband bought this for my birthday. i love that it can be dressed up or worn for a more fun occasion.

i'm a tad small up top, so it fits a little too loose up there, but other than that it fits great. i'm considering getting it altered just because i love it so much.",4,20/11/2018
Love love love,Just like the afterward lace cardigan i love this so much. i've had the black and white for about 2 years now and they are still intact! only the buttons fall off once in a while but that's when i'm being aggressive and on the go buttoning. the cardigans from this year just add to my knitted and knotted collection!,5,14/10/2018
Please bring this shirt back!!!,"This is my favorite shirt ever. i've had it for years and it still looks great. please, please bring it back!!",5,28/10/2018
"Fun and gorgeous suit, but not for me","This was the first suit i've ever ordered online and the first one piece i've tried since i was a very young girl, so i was a little skeptical going into this. i'm 5'9"", ~145 lbs, 34b, with a pear shape and short torso. i was pleasantly surprised by the overall fit--the length was right, the bottoms fit really well (i was nervous about the boy short/hip hugger design), and the suit was just very comfortable and cute. however, something about the cups just didn't work with my chest; my breasts di",4,07/06/2018
Worth it!,This suit is great for curvy and slightly flawed figures. the vintage look delivers full coverage that still looks sexy. not your mother's one-piece.,5,08/03/2018
Love this swimsuit!,"This swimsuit is super cute and retro. the ruching on the stomach is very flattering and the shaping on the padded cups makes for a very nice hourglass 1950s-inspired look. great for us ladies without a lot up top. i felt very marilyn monroe in this suit! i love the back coverage, too -- your butt doesn't hang out of the suit and the boyshort style offers a good amount of coverage without being dowdy.

i was worried about sizing when i first ordered it. based on what everyone said, i went with a",5,31/05/2018
Super unflattering,"I'm 5' 5"", 150 lbs, 32dd, normally a 28p or 29p in pants. i ordered an 8 and probably should have gone with a 10. it was super unflattering?the print was overwhelming for my pale skin, it made my thin waist look larger than it really was, and rode up the inside of my thighs. i have a similar bathing suit from modcloth that's 1/3 of the price and 20x as flattering. if you have thick legs, this may not be the suit for you. i returned it--so fast.",2,16/03/2018
Great for bigger busts,"I absolutely love the retro look of this swimsuit. i first saw it on blogger amber fillerup-clark (barefoot blonde) and i knew i had to have it. this is the first one piece suit i've purchased in about six years. i've avoided one pieces because most of the ones i tried made me feel frumpy, and the mono-kini look just looked odd on me. i have a smaller frame and a larger bust (32ddd), so finding swimsuits that fit properly is a challenge. i am a size 4 but i ordered a size 6 after reading reviews",5,28/08/2018
Great coverage,"I ordered the correct size due to reading other reviews who gave their height , weight, and chest size. thank you all for that! i am 5 feet 5 3/4 inches tall and fluctuate between 135 lbs and 139 lbs. i wear 36b in bras. i ordered an 8. fits great! the coverage is adequate on my backside. the rouching is very nice in the mid section for self conscious women like me. the color is fun and beautiful. the quality is excellent! i love the bra support! there are real bra cups sewn in! it was pricey bu",5,20/11/2018
Adorable and cozy,"This sweater is the best sweater to throw on over a buttoned blouse, t-shirts, long sleeves, tanks. i always get comments on how comfortable and adorable this sweater is. a worthwhile buy.",5,19/10/2018
Cute holiday dress,"I'm 5'9 and wear a size 12. this dress runs tts though there is no stretch to it, found the bust to be a tad tight (38c). it is light with good movement. i did not find it short waisted and i thought the proportions were correct. the length was just long enough to make me feel comfortable wearing it. i'm looking forward to wearing it to holiday dinners this season.",4,15/09/2018
So glad this comes in 32 d!,This bra surprised me by how good it looks on. the placement of the lace and cups creates a flattering silhouette.,5,04/11/2018
Please make in more florals and patterns!,"This suit is perfect in every way! (the leg opening could be a little bigger for the size) i would be a small if the leg openings were a bit bigger.

please please offer another suit before december 2015 so i can buy for our cruise!!!",5,11/06/2018
Perfect fit an flare,"I actually saw angela from the tv show bones wearing this dress and decided i loved it so much i had to find out where it was from! after ordering this dress i couldn't be happier, i love it! it is a very flattering shape and a thick material so it falls nicely.",5,27/03/2018
Runs large,"I love this dress, but have found that this brand runs large. i'd order a size down.",4,17/08/2018
"Pretty, but not the most comfortable","I got the burgundy color and i do have to say that the color looks a little better online than it does in person, but it's not too much of a difference. this is a really cute thong, and if you're just trying to be sexy/romantic, then i think it would be fine and there's nothing at all wrong with it. however, i like to wear thongs just in general because i think they're comfortable and i like not having to worry about panty lines, and this is definitely not the most comfortable. the front pattern",4,14/06/2018
The best boy short,"I love panties. i love the prettiest, softest, most adore-worthy panties i can find. these are my favorite boy shorts--i can always put them on and feel pretty. no weird tight spots and the lace has a perfect amount of stretch. im a mom and my body isn't perfect anymore, but these panties give me confidence, with perfect coverage. i choose them more often than any other in my lingerie drawer. my only warning: wash these pretties as delicates, or the lovely lace colors will fade.",5,16/10/2018
Breathtaking,"I am so happy with this chemise! the pink is the most breathtaking blush and the fabric is super soft. i like that the straps are adjustable, allowing me to make the bodice a perfect fit while adjusting the gown to the perfect length for me. it's definitely my new favorite!",5,26/01/2018
So comfortable!,Bought this for a vacation to mexico with my boyfriend. super flattering and soft. big thumbs up!,5,04/06/2018
Beautiful,Beautiful nightie- looks like its really well made and fits really well. i'm normally a size 6-8 and the m was perfect. definitely recommend.,5,29/11/2018
Gorgeous!,"This fit perfectly. i am 5'7 , 138 pounds and ordered a small. i was very pleased with the way it draped over my body. i bought the black one.",5,07/05/2018
More compliments than i could have imagined,"I knew when i bought this bralette that there was something special about it...the intricacy of the design is really pretty as is the style...but seriously - every single time i wear this bralette out (paired with a cute top or dress) i get tons of compliments from all of my friends. i never thought a bralette would spark so much conversation! aside from that it is super durable...i've had it for a year now, have washed it several times, and it is not stretched out at all or frayed aka it is gre",5,27/08/2018
Perfect fit,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,5,13/05/2018
Sexy and classic,This is my first time purchasing a bra from this brand and i am in love. the style and quality are amazing. it is the most comfortable bra i owned to date and i will be buying more from this line. it provides a lift without all of the uncomfortable padding which requires continuous adjusting. i am saying goodbye to vs forever. i got this in red and the bra looks more expensive than it actually is and the fit is simply amazing.it is sexy and classic at the same time.,5,12/03/2018
Lovely!,"Well-made, gorgeous bra! the 'red' is more wine in person, which is great. this bra runs quite small--go up at least 1 band and 1 cup size. i got a 36c and it fits great! (i'm a 34b across brands like vs, etc.) 
you'll feel extra saucy and a bit mischievous knowing you're wearing something this sexy.",5,18/03/2018
Natori t back,"It is a very pretty bra. light weight and beautiful lace. however, i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight, perhaps that might help with the fit?",3,15/02/2018
Pretty and feminine,"I do wish this came in a 30dd sizing, purchased he 32d and it fits, though the band is looser than desired. i am still keeping it. i love the back, will be great for some of my dresses ti used to wear strapless bras to wear. recommend.",5,18/11/2018
Functional beauty,"I own many of the natori feathers back close bras and decided to try the front close version for spring/summer tops and dresses. i purchased the yellow and got the matching hipsters panty. i no longer see the yellow available but you could find elsewhere or maybe retailer will bring this color back (it is lovely!)? for sizing, i tried my normal size (34b) and the cup size larger per other reviews. the 34c did end up fitting better so i also recommend going up a cup size. excited for warmer weather",5,20/11/2018
Everyday tights,These tights are perfect. they seem like they will last a couple seasons with minimal wear. just the slightest texture and not shiny. i got the beige/brown to layer with dresses/skirts and boots. love.,5,24/02/2018
Lovely,"Makes me feel like a sexy ice skater. true to size, i am 5'0 and 120 lb and both the small and medium fit. i kept the medium. love it!",5,15/08/2018
Love this!,I was so excited to receive this in the mail. it fits true to size and is extremely flattering. so glad that i made this purchase,5,08/10/2018
Pretty,"Bra s great, but it has a lot of push-up padding. this might be nice for smaller cup sizes, but for a 34dd, it was a little overkill/unnecessary.",5,23/01/2018
Classic and comfortable,Great bra. fits well. works under tighter t-shirts. just be aware that the straps do clearly read calvin klein. more mauve than pink.,5,13/03/2018
"Cute pants, but short.","These pants have a really cute design. however, they are a bit short (and i'm only 5'4""). i'm still happy i purchased them, but i thought i was purchasing full length pants (as shown on the model) and not capris.",4,10/10/2018
It's a no,"Got this in the sky color. returned it because the top is way too sheer for me, if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also, for the price, material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2"", 114#, 34b",2,12/06/2018
Truly a fine gown for the feminine!,A finely laced sheer bustier along with a gown split along the sides makes for a lovely sleeping garment. the material is cooling and the lace is not itchy.,5,11/09/2018
Love,"I love this gown so much, i would wear it everyday if i could. it is cozy, beautiful, and feels special like an heirloom. the top is perfect coverage and the skirt is so soft. color is much prettier than the photo picks up!!! i love this gown. my favorite, hands down.",5,08/12/2018
Beautiful suit!,"I purchased the teal suit and it was so beautiful! it's super comfortable and has nice coverage. i decided to return it because, as a nursing mom i've decided to wait until i've weaned the baby so i can make sure the fit is still good. but otherwise i would have kept it!",4,05/02/2018
Gorgeous and flattering,"I found this set once while browsing the website. i fell in love with it and kept a photo of the set so i could save up to purchase it. as luck would have it, my mom surprised me with a gift card, so i applied it to my purchase. i'm so happy with the set. it's wonderfully flattering, and makes me feel sexy. i want one in every color!",5,30/01/2018
Love this piece!!!,"This piece fits true to size and is very flattering on. sometimes i worry about my stomach not being perfectly flat, but this wasn't an issue at all, probably because of the intricate lace details. the fabric is substantial enough that i don't feel like it'll get a hole in it after multiple wears.",5,02/11/2018
Love the cut and lace strip on the back.,"I purchased this shirt and was hoping to be able to wear it without a tank underneath (because of the lace detailing on the back). however, this shirt is a bit see-through, so i still had to wear a tank with it. it's very cute even with the tank though!",5,23/08/2018
Cant go wrong,"I purchased these in taupe, mint, and coral. they are extremely comfortable and soft. they can be rolled up to 3 different lengths. i stayed in my regular size and the fit is great. i can see why they sell out so quickly. a must for summer season.",5,03/05/2018
Super comfy and cute,"These are some of the softest most comfortable shorts i own and wish i had them in more colors. i like that i an adjust the length of the cuff since it's not ""hemmed"" to a certain length. i ordered the pink/salmon color and they go with so much!",5,13/11/2018
Beatiful and great quality for the price,"I have been looking for lace shorts for years. yes, years! finally found these shorts that are perfect. the lace is sturdy, not flimsy, so they are not see-through. i purchased both the cream and the blue when they went on sale. my skin is a bit tan, so lighter-colored clothing can be see-through for me. both colors are fantastic and i get compliments on them all the time, especially the blue shorts. plus, they complement either a t-shirt or a blouse. i love the eyelash fringe at the hem - such",5,25/03/2018
Beautiful and comfortable,"I own a couple of pairs of natori hipsters and recently purchased the yellow to go with the front close natori bra. i tried to wear thong panties but they just didn't work for me. thankfully, natori makes these lovely panties that still make me feel sexy and they are way more comfortable. they also receive rave reviews from my husband. : )",5,17/04/2018
Thank goodness!,"I have been having the worst trouble lately finding cute, comfortable cotton undies...until i found these. these fit like a charm, are incredibly soft, and don't ride up at all. (sizing in spot on.) plus they have the adorable lace trim that makes one feel nice and girly. last summer there was a nyt article saying that comforable underwear was coming back in style -- yay!!",5,05/10/2018
Fabulous,"These undergarments are comfortable, streamlined, and well made. this bra holds up well without wires. i am a 34b and wear a small. it is a bit tight at first, but form fits after one wear. . after trying one bra and i ordered 4 more. then i researched the brand and bought camis to match. i love how all the colors and styles are interchangeable.",5,22/09/2018
Love the pattern,I bought this as a present and am very happy with it! the pattern is fun and i like the slouchy fit.,4,07/04/2018
Great quality tank,"I love these tanks. the straps are wide enough to hide my bra straps. they're soft. and long enough to give me added length to shirts that run short. because this tank runs small and i had to size up to get the fit that i like, the straps are a little long, but after i alter them with a little sewing, they're perfect. i've had to do this with retailer tanks in the past, and it's worth it to me for the quality that i'm getting. the regular price is too high, so i only buy them on sale. i try",5,30/10/2018
So cute,I love this!!!! nice and lightweight. super stylish,3,25/05/2018
Extra fabric,"There is a lot of fabric here! the legs fit me fine, but they are long and when you roll them up it creates a bunching of fabric in an awkward area. i've also found that they don't stay rolled up in the back, especially if you sit down. it's a shame since the fabric is soft and comfortable. maybe sizing down would've helped, but i doubt that would've fixed the problem of the cuffs staying rolled up.",3,29/04/2018
Casual short,Cute casual drawstring short. runs a little large but nice style for an oversized look. nice length for long legs.,5,07/02/2018
So pretty,This robe is such a pretty design. very flowy- runs slightly large in my opinion but was so cute i decided to keep it!,4,27/06/2018
Love this dress,Confortable and looks great how ever you wear it.,5,20/08/2018
Exactly what i was missing from my wardrobe,I ordered this in gray and in white. these are not your mothers' slips. they are comfy and soft. i have worn the white under a shorter dress on a day when i wanted more coverage but didn't want to go for full on tights or leggings. i liked the effect of the slip being longer than the dress. the gray may even be opaque enough to stand (almost) on it's own. very happy with these.,5,27/10/2018
Go to going out tank,I buy everything that retailer sells in chambray. this top did not disappoint. it is so comfortable and the back the way it is slightly lower than normal is very sexy without being revealing. the straps fall off of your shoulders a bit but i do not find it annoying. i am not big busted so i didn't have the sizing issue that others seemed to have.,5,24/08/2018
Best shorts...ever!,These short are the best! the denim is incredibly soft. they go perfect with both casual and nice tops. i would wear them out everyday if i could.,5,22/03/2018
Calvin klein quality,"Love love love this pair of underwear (yes, i'm writing this about underwear). they're comfortable, flattering, and no vpl (visible panty line) without having to wear a thong.",5,21/05/2018
Exactly as pictured,"Love this bra! i was looking for something feminine and sexy and this is perfect. it's exactly as pictured. i was worried the material would be too delicate and fragile, but it's really durable! my only issue is that it fits a tiny bit awkwardly because of the solid material on the side, but it doesn't actually look awkward, just feels a bit odd at first. i highly recommend it if you're looking for something sweet and sexy!",4,28/01/2018
So fun!,"I tried on this romper when it was still full price and loved it, but wasn't sure i wanted to splurge at the time. at the new sale price this romper is definitely worth it for the quality and style. i am 5'2''/103lbs and the xs fits pretty well, but truthfully an xxs would have been better if it existed. the top part of the romper (above the waist) is a bit long--- the waistband hits maybe an inch or 2 below my natural waist, but perhaps this can be tailored. overall very happy with this purchas",5,20/06/2018
Cute and fun,Sweet leg warmers that are fun and cute too! kept me warm when out in this frosty morning!,5,13/11/2018
Beautiful...runs very small,This bra is beautiful. the lace is so lovely and soft and looks fabulous on. my only criticism is it runs very small. i am a 32 a and order the size 1 and it is snug... just order a size up (or two) and it should be perfect.,4,05/06/2018
Perfectly flattering,"I managed to find this huit eden lagoon fixed straps foam bandeau swimsuit in a size 32c and it fits perfectly. my current measurements are 33-25-37 or 38 hips, and i normally wear a 30d or 32c bra.
.
i have a longish torso, yet this doesn't ride up. fits like on the model. there is a thin strip of silicone around the back to keep it from sliding down. the v-shape is held by a hard wire, but it doesn't cut in anywhere. the soft black straps are sewn in and not adjustable but do hold their shap",5,14/03/2018
Size and function,Too big and it's not secure enough to wear for swimming.,2,16/06/2018
My favorite socks,I am so happy i decided to purchase these. they are the only invisible socks i've found that actually stay on my feet. all others always slip off my heel... these are great!,5,02/11/2018
Design too fluorescent,"I loved the lavender color on the cape. it was soft and comfortable. but the design on the front ruined it for me. it took me all of 1 minute to know it was going back. it looked like florescent bird feathers nothing wrong with that, it just wasn't my style at all. i was a bit disappointed as it would have been perfect for cool ca nights. it looked more subdued in the photo, it's not. i clicked i would recommend to others as it is nicely made and i guess just not my taste as far as the colors an",3,24/05/2018
Glorious,Beautiful and comfy!!!! love it!,5,07/08/2018
Love this!,"I know it's a bit of a moot point since the chemise has sold out - but on the off chance any come back in stock, or if you see one at your local store - i urge you to try it on! the fabric is incredible. so luxurious. it fits me amazingly. i have a hard time with the whole tight chemise/slip/nightie category of clothing, as i'm fairly skinny, but still curvy, and while i love my curves, i do have a muffin top that can get real awkward when you're trying to look sexy. this, however, is a godsend.",5,08/04/2018
Trust this brand- hanky pinky,"I honestly just love the hanky panky brand. i know it sometimes feels a little extravagant to purchase their lingerie, but the quality, fit and style are so good that it is absolutely worth it. this piece is no exception. i don't normally purchase lingerie like this, but saw this chemise and decided to try it. just as the other pieces from this brand, it's comfortable and gorgeous- so high quality and classy. it's a great cut, the fabric is clearly lace, but beautifully done. and the feel is lov",5,20/03/2018
Size up,"It's beautiful, but more sheer on bottom than it appears in photo. size up.",4,03/08/2018
Cute bedtime boyshort,"I got these pretty boy shorts because i was looking for a panty that was comfy for bedtime--pretty but with a fair amount of coverage. i am really happy with them. wonderful with a tank top or chemise. i think the ruffles are a bit bulky for skinny jeans, but i love them for sleeping. they feel special.",4,08/10/2018
Some things you should know...,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,23/08/2018
The perfect leggings,"I've been looking for the right leggings that are of good quality, thick enough to feel appropriately covered, and a good price point - these are those leggings! need more!",5,08/06/2018
Better than leggings!,"I'd describe these as a hybrid pant/legging. they are very comfortable flattering, and versatile. i got the large because medium was sold out, but they fit nice, not super tight.",5,19/06/2018
Great leggings!,"Wonderful fit - love that these have a bit of texture to them and the structure is perfect. easy to wear with ankle boots or flats, and thick enough that you don't have to worry about see-through incidents. the only issue that i have is that the elastic in the waistband isn't secured, so it tends to twist around - just a minor annoyance and wouldnt stop me from ordering these in another color!",4,28/09/2018
Good basic,"Great pair of black pants, a step up from basic leggings. nice weight and a little ribbed detail on the sides. would recommend.",5,13/02/2018
Stylish,"Perfect fit, nice detailing best feature is that they do not bag out
after wearing for a short time. good lines in back so they are more
dressy than a regular legging.",5,13/10/2018
Love them,"They are a perfect thickness. fits comfortably like leggings but look like a nice pair of office/ outside pant. got them in the grey, am thrilled w the texture. i typically wear a large in pants and they are tts. not see through either. would definitely recommend them.",5,02/02/2018
Too much like jodphurs!,Good quality fabric and structure but the mix media details and lines make them seem more like jodphurs than leggings. it's hard to see where i would wear them ... sorry but they have to go back.,2,30/01/2018
Best leggings ever,"After reading the reviews, these leggings seemed to be the best leggings ever. i'm usually not a leggings gal, but decided these might be the ones to take me through winter with long cozy sweaters. i read the profile of those who purchased and were happy with the fit before making my purchase. i'm 5'2"", 134lbs and bought a medium. while they fit nicely through the waist and thighs, from the knees down they're baggy and really don't fit like a legging. in the photo you can see some slack around t",4,04/09/2018
Stretched out upon receipt,"I opened these when i got them yesterday and immediately tried them on. the knees were totally stretched out and due to the panel at the knee, it looked like i had growths popping out between my legs at my knees. someone had received these before me and sent them back after they tried them on or wore them then returned them. they were obviously too small for whoever did that. these never should have been resent to another customer. they are obviously very misshapen. they are going back. on a bet",1,19/07/2018
Feel like leggings - look like pants!,Soooooo cute. fit like a dream. look like regular pants. could dress up or dress down. i bought the grey and the slight herringbone pattern was so adorable. going to buy in the black as well. normally wear size 4-6 got the small and fits perfect.,5,09/06/2018
So disappointing!,"I was so excited to get this robe in the mail but was beyond disappointed when i opened the package. the fabric is extremely stiff and thin. the fabric felt like something curtains would be made out of and the white background was see through. the robe is very short and cut small in the shoulders, therefore it looked like i was wearing a piece of children's clothing. i also ordered the matching pj pants but didn't even take them out of the package after seeing how rough and see through the mater",1,06/02/2018
Too small in the chest for a size large,"I ordered a size large, however as a large, my chest is large as well. this nighty barley covered me (in the chest region). the rest of the body fit well.",2,20/07/2018
Pretty!,"I love wearing this to bed and it's really pretty! the lace is thin and delicate, so it can get snagged easily, but it's pretty comfortable. the only thing that could make it more comfortable is if the material underneath the bust was looser, though it wouldn't be as supportive. overall, i think it's a very beautiful chemise!",4,26/08/2018
"Great idea, poor execution","I absolutely loved the idea of an elongated hoodie as a lounge dress or robe. unfortunately, this particular product left a lot to be desired. firstly, the fit is slim, not relaxed. i'm 5'4"", at 110 lbs and tried both the size 1 (equivalent of a small) and size 2 (equivalent of a medium). sizing up just added length and did not do much to increase roominess. they both zipped up easily but did not drape well. finally, the fabric was really not welcoming. i prefer terry over fleece, however this w",3,31/03/2018
Pretty but runs way too small,"I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color, it's really pretty! just go up a size or two if anything and try it out.",3,03/09/2018
Great for summer,I bought this to wear with a skirt that i wanted to dress down - i needed something that was long enough to be able to tuck it in without having that awkward line. its a great fit.,5,08/12/2018
Sizing is off,"The bra is comfortable and the design is good. however, the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(",2,21/07/2018
Sizing is off,"Good design, comfortable fit. however, sizing is way off. i am a 34c and the small fits with minimal support. agree with the previous review. not sure it is a keeper.",4,19/04/2018
So cute!,"It is an expensive panty, but so worth the money! it is so unique and flattering!",5,21/04/2018
Shimmer in silver/grey - size down,"As in most ribbed camis, this stretches out - so size down. it is very pretty/delicate (e.g. fabric is thin) and the silver/grey color has metalic thread running through. plan to pair it with an retailer grey bolero sweater for the holidays.",4,02/08/2018
"Very thin fabric, not worth $90","The pants are pretty and run true to size, but the fabric is bathing suit like, very thin and sheers in the butt when you squat. i wouldn't recommend for anything but waking.",2,19/07/2018
Perfect stylish comfort,"First off, these are great because they are not so tight like all other work out crops that my anatomy is not a mystery to people around me. i have an athletic build and these pants are awesome in that they hug the body lightly. they are so soft and comfy also. perfect for running and the gym and apres whatever. i bought a back up pair.",5,07/04/2018
Not great quality :(,"I loved these pants - super soft and cozy and perfect for winter. i've worn them a handful of times and have washed them maybe twice max and they already have 2 holes! they don't say handwash and my washer/dryer is brand new and pretty gentle on my clothes. maybe i just ended up with a bad pair, but i found the quality to be disappointing :(",2,31/01/2018
Gorgeous,"It's a phenomenal wardrobe peice. quality, comfort, versatile. dress it up or down, belt it or not, boots or shoes. i'm 5'3"", 115ish lbs, small fit my 34d chest beautifully. a great buy - have fun with it!",4,09/06/2018
Flexible use,"I bought this 'nightgown' to wear as a winter maternity dress. it really fit the bill!! the knit fabric stretched nicely as i grew but was still flattering before i got larger as well. there is no way i would actually sleep in this dress. it would be way too hot! it is cute with calf length boots and i look forward to rocking it without the belly next winter. i would normally wear a petite length and bought the medium and though it was longer, the length was not awkward and kept it from being to",5,31/05/2018
Great dress!!,"It is hard to believe that this is called a chemise! it is a fabulous dress! this dress caught my eye in the store and i had to try it on. i went with the navy, which is beautiful and has a great pattern. i had to order a petite xs because the regular xs was loose in my shoulder area. i am petite and narrow and 5'1"". the petite xs was perfect for me. it is quite form fitting and does show curves, lumps and bumps so i wore my dress with spanx tights. it was such an easy dress to wear, looked styl",5,10/09/2018
Blue/grey color is fantastic,"The blue looks a lot more grey in person and i've gotten several compliments wearing it with black leggings and grey booties. the texture/print is really unique. i'm 5' 11"" 135 pounds and a small fits perfect. highly recommend!!",5,24/07/2018
Gorgeous,"Bought this dress as a winter dress. it looks amazing, and even more so with some boots. love it. also, its more gray than blue, although i like that.",5,30/03/2018
